id,product_name,product_description,product_mark,product_model,category,subcategory,product_price,product_discount,product_quantity
253,Poco X5 Pro,"Pantalla AMOLED de 6.67"", Snapdragon 778G, cámara de 108 MP",Xiaomi,X5 Pro,Celulares,Smartphones,349.99,0.15,100
254,Vivo X90 Pro,"Pantalla AMOLED de 6.78"", procesador Dimensity 9200, cámara de 50 MP",Vivo,X90 Pro,Celulares,Smartphones,1199.99,0.10,30
255,Oppo Find X6 Pro,"Pantalla AMOLED de 6.82"", Snapdragon 8 Gen 2, cámara de 50 MP",Oppo,Find X6 Pro,Celulares,Smartphones,1099.99,0.10,40
256,Samsung Galaxy Z Flip5,"Pantalla plegable AMOLED de 6.7"", Snapdragon 8 Gen 2, cámara dual de 12 MP",Samsung,Z Flip5,Celulares,Smartphones,999.99,0.08,60
257,iPhone SE (3ra Generación),"Pantalla Retina de 4.7"", chip A15 Bionic, cámara de 12 MP",Apple,SE (2022),Celulares,Smartphones,429.99,0.20,120
258,Samsung Galaxy M14 5G,"Pantalla PLS LCD de 6.6"", procesador Exynos 1330, batería de 6000 mAh",Samsung,M14 5G,Celulares,Smartphones,199.99,0.30,150
259,Google Pixel 7a,"Pantalla OLED de 6.1"", procesador Tensor G2, cámara dual de 64 MP",Google,Pixel 7a,Celulares,Smartphones,499.99,0.10,70
260,Xiaomi 12T Pro,"Pantalla AMOLED de 6.67"", Snapdragon 8+ Gen 1, cámara de 200 MP",Xiaomi,12T Pro,Celulares,Smartphones,749.99,0.15,60
261,Samsung Galaxy Z Fold5,"Pantalla plegable AMOLED de 7.6"", Snapdragon 8 Gen 2, cámara triple de 50 MP",Samsung,Z Fold5,Celulares,Smartphones,1799.99,0.05,30
262,iPhone 13 Mini,"Pantalla OLED de 5.4"", chip A15 Bionic, cámara dual de 12 MP",Apple,13 Mini,Celulares,Smartphones,599.99,0.15,40
263,Realme Narzo 60,"Pantalla AMOLED de 6.6"", procesador Dimensity 6020, cámara de 64 MP",Realme,Narzo 60,Celulares,Smartphones,299.99,0.20,70
264,Xiaomi Redmi 12 5G,"Pantalla IPS LCD de 6.79"", procesador Snapdragon 4 Gen 2, cámara dual de 50 MP",Xiaomi,Redmi 12 5G,Celulares,Smartphones,249.99,0.25,90
265,Motorola G73 5G,"Pantalla LCD de 6.5"", procesador Dimensity 930, cámara de 50 MP",Motorola,G73 5G,Celulares,Smartphones,329.99,0.20,60
266,Vivo V29 Pro,"Pantalla AMOLED de 6.78"", procesador Dimensity 8200, cámara de 50 MP",Vivo,V29 Pro,Celulares,Smartphones,599.99,0.10,80
267,Sony Xperia 10 V,"Pantalla OLED de 6.1"", procesador Snapdragon 695, cámara triple de 48 MP",Sony,10 V,Celulares,Smartphones,449.99,0.12,50
268,Oppo Reno 10 Pro+,"Pantalla AMOLED de 6.74"", Snapdragon 8+ Gen 1, cámara de 50 MP",Oppo,Reno 10 Pro+,Celulares,Smartphones,729.99,0.15,30
269,Google Pixel Fold,"Pantalla plegable OLED de 7.6"", procesador Tensor G2, cámara de 48 MP",Google,Pixel Fold,Celulares,Smartphones,1799.99,0.05,20
270,Asus ROG Phone 7 Ultimate,"Pantalla AMOLED de 6.78"", Snapdragon 8 Gen 2, enfocado en gaming",Asus,ROG Phone 7 Ultimate,Celulares,Smartphones,1399.99,0.08,40
271,Huawei P60 Pro,"Pantalla OLED de 6.67"", Snapdragon 8+ Gen 1, cámara de 48 MP",Huawei,P60 Pro,Celulares,Smartphones,1099.99,0.10,50
272,OnePlus Nord CE 3 Lite,"Pantalla LCD de 6.72"", Snapdragon 695, cámara de 108 MP",OnePlus,Nord CE 3 Lite,Celulares,Smartphones,299.99,0.20,100
273,Samsung Galaxy A14 5G,"Pantalla LCD de 6.6"", procesador Exynos 1330, cámara de 50 MP",Samsung,A14 5G,Celulares,Smartphones,199.99,0.25,120
274,Tecno Phantom V Fold,"Pantalla plegable AMOLED de 7.85"", procesador Dimensity 9000+, cámara de 50 MP",Tecno,Phantom V Fold,Celulares,Smartphones,1099.99,0.10,30
275,iQOO 11 Pro,"Pantalla AMOLED de 6.78"", Snapdragon 8 Gen 2, cámara de 50 MP",iQOO,11 Pro,Celulares,Smartphones,949.99,0.12,50
276,Nokia X30 5G,"Pantalla AMOLED de 6.43"", Snapdragon 695, cámara de 50 MP",Nokia,X30 5G,Celulares,Smartphones,449.99,0.18,60
277,Honor Magic5 Pro,"Pantalla AMOLED de 6.81"", Snapdragon 8 Gen 2, cámara de 50 MP",Honor,Magic5 Pro,Celulares,Smartphones,1099.99,0.10,40
278,Xiaomi Poco F5,"Pantalla AMOLED de 6.67"", Snapdragon 7+ Gen 2, cámara de 64 MP",Xiaomi,Poco F5,Celulares,Smartphones,449.99,0.20,70
279,Lava Agni 2 5G,"Pantalla AMOLED de 6.78"", Dimensity 7050, cámara de 50 MP",Lava,Agni 2 5G,Celulares,Smartphones,349.99,0.20,90
280,Samsung Galaxy S21 FE,"Pantalla AMOLED de 6.4"", Exynos 2100, cámara de 12 MP",Samsung,S21 FE,Celulares,Smartphones,699.99,0.15,50
